ID,RENDIMIENTO_GLOBAL
550236,alto
98545,medio-bajo
499179,medio-alto
782980,medio-bajo
785185,bajo
58495,alto
705444,bajo
557548,bajo
519909,medio-bajo
832058,medio-alto
500006,medio-alto
533123,alto
18369,alto
554003,alto
270523,alto
68783,bajo
466788,medio-alto
580496,alto
980,bajo
45318,medio-alto
169937,bajo
567594,alto
931069,alto
662151,bajo
820068,bajo
180573,bajo
722897,medio-alto
486612,bajo
392732,alto
415940,medio-alto
370677,bajo
913342,bajo
53348,bajo
611580,alto
325518,alto
559385,medio-alto
924014,alto
655091,alto
274300,alto
597774,alto
10492,bajo
42157,bajo
122478,alto
182105,alto
840917,bajo
492145,alto
199025,bajo
60321,alto
468865,bajo
531909,medio-bajo
597315,alto
710545,alto
92908,bajo
227538,alto
132175,alto
63918,medio-alto
792721,bajo
250248,alto
957279,bajo
235051,bajo
590903,alto
743287,alto
397479,medio-bajo
687497,bajo
480574,alto
559689,alto
908667,alto
476824,bajo
226433,alto
690604,bajo
557125,bajo
564399,alto
955977,medio-alto
871869,alto
332129,alto
45041,medio-bajo
925176,alto
846268,alto
47569,bajo
127318,medio-bajo
377732,bajo
574357,alto
267596,alto
641577,medio-alto
863855,alto
302704,bajo
268355,bajo
405753,alto
816804,medio-alto
199380,alto
290262,medio-bajo
747029,bajo
955279,bajo
869062,medio-bajo
703174,bajo
206808,alto
275015,bajo
912224,medio-alto
114504,medio-alto
118751,bajo
441770,medio-bajo
661560,alto
119553,medio-alto
619351,medio-alto
116083,alto
422409,medio-alto
729575,bajo
645509,bajo
764033,alto
894558,alto
597971,alto
517374,alto
692756,medio-bajo
62436,medio-alto
494235,alto
687092,medio-alto
816772,medio-alto
57602,alto
857758,alto
366346,medio-alto
734637,alto
422384,alto
913090,bajo
398691,bajo
638856,medio-bajo
51458,alto
823643,alto
225055,bajo
382685,alto
408940,bajo
210238,alto
301118,bajo
366661,alto
225318,alto
94973,alto
729515,alto
90676,alto
348354,alto
298755,bajo
192563,bajo
226309,alto
69785,alto
456604,alto
986954,alto
637087,medio-bajo
269038,bajo
587596,medio-alto
905623,bajo
571317,alto
29120,medio-bajo
731710,bajo
384687,alto
706026,alto
279020,alto
315743,alto
836272,alto
232290,bajo
930618,alto
4447,alto
694384,medio-alto
132280,alto
335605,bajo
648023,alto
133931,alto
528538,alto
690236,alto
157636,bajo
449478,bajo
758546,bajo
240083,alto
937812,medio-alto
580858,medio-alto
276553,alto
62388,bajo
276920,alto
127735,bajo
807003,alto
760381,alto
650613,medio-bajo
957009,medio-alto
54561,bajo
846365,alto
485316,bajo
444466,alto
889129,alto
859395,bajo
156113,medio-alto
773162,bajo
306124,bajo
61437,bajo
582061,alto
57419,alto
315592,medio-alto
140538,alto
74473,medio-alto
877256,medio-alto
641111,bajo
393129,alto
76355,bajo
66971,alto
413284,bajo
134959,bajo
800546,bajo
768129,bajo
640336,bajo
606145,bajo
728416,medio-bajo
467751,bajo
621666,bajo
586399,medio-bajo
82959,bajo
66879,alto
576030,medio-alto
